Name,PointType,Units,Commandable
comp5SuctionPressure,AV,,N
comp5DischargePressure,AV,Kilopascal,N
comp5RunHours,AV,,N
comp5PressureRatio,AV,Kilopascal,N
comp5Demand,AV,,N
comp5AlarmWord1,AV,,N
comp5AlarmWord2,AV,,N
comp5Alarm,AV,,N
comp5FaultWord1,AV,,N
comp5FaultWord2,AV,,N
comp5FaultWord3,AV,,N
comp5Fault,AV,,N
comp6ActualSpeed,AV,percent,N
comp6ActualPower,AV,kilowatt,N
comp6SuctionPressure,AV,Kilopascal,N
comp6DischargePressure,AV,Kilopascal,N
comp6RunHours,AV,,N
comp6PressureRatio,AV,Kilopascal,N
comp6Demand,AV,,N
comp6AlarmWord1,AV,,N
comp6AlarmWord2,AV,,N
comp6Alarm,AV,,N
comp6FaultWord1,AV,,N
comp6FaultWord2,AV,,N
comp6FaultWord3,AV,,N
comp6Fault,AV,,N
subcool1,AV,,N
subcool2,AV,,N
subcool3,AV,,N
subcool4,AV,,N
subcool5,AV,,N
liquidLineTemp1,AV,degrees celsius,N
liquidLineTemp2,AV,degrees celsius,N
liquidLineTemp3,AV,degrees celsius,N
liquidLineTemp4,AV,degrees celsius,N
liquidLineTemp5,AV,degrees celsius,N
liquidLinePressure1,AV,Kilopascal,N
liquidLinePressure2,AV,Kilopascal,N
liquidLinePressure3,AV,Kilopascal,N
liquidLinePressure4,AV,Kilopascal,N
liquidLinePressure5,AV,Kilopascal,N
economizerTemp1,AV,degrees celsius,N
economizerTemp2,AV,degrees celsius,N
economizerTemp3,AV,degrees celsius,N
economizerTemp4,AV,degrees celsius,N
economizerTemp5,AV,degrees celsius,N
economizerPressure1,AV,Kilopascal,N
economizerPressure2,AV,Kilopascal,N
economizerPressure3,AV,Kilopascal,N
economizerPressure4,AV,Kilopascal,N
economizerPressure5,AV,Kilopascal,N
economizerEXVCommandedPosition1,AV,percent,N
economizerEXVCommandedPosition2,AV,percent,N
economizerEXVCommandedPosition3,AV,percent,N
economizerEXVCommandedPosition4,AV,percent,N
economizerEXVCommandedPosition5,AV,percent,N
exvCommandedPosition1,AV,percent,N
exvCommandedPosition2,AV,percent,N
exvCommandedPosition3,AV,percent,N
exvCommandedPosition4,AV,percent,N
exvCommandedPosition5,AV,percent,N
exvCommandedPosition6,AV,percent,N
exvCommandedPosition7,AV,percent,N
exvCommandedPosition8,AV,percent,N
exvCommandedPosition9,AV,percent,N
exvCommandedPosition10,AV,percent,N
systemChwSupplyTemp,AV,degrees celsius,N
systemChwReturnTemp,AV,degrees celsius,N
systemCwSupplyTemp,AV,degrees celsius,N
systemCwReturnTemp,AV,degrees celsius,N
outsideAirTemperature,AV,degrees celsius,N
outsideAirHumidity2,AV,percent,N
chwP1SpeedCommand,AV,percent,N
chwP2SpeedCommand,AV,percent,N
cwP1SpeedCommand,AV,percent,N
cwP2SpeedCommand,AV,percent,N
coolingTowerSpeed2,AV,percent,N
chwBypassValveCommand2,AV,percent,N
cwBypassValveCommand2,AV,percent,N
